airport,apparentTemperature,cloudCover,daily icon,daily summary,dewPoint,epoch_time,humidity,icon,latitude,longitude,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
ATL,50.4,0.26,rain,Heavy rain starting in the evening.,44.02,1456835400,0.79,partly-cloudy-night,33.636667,-84.428056,,0.0,0.0,,1018.58,Partly Cloudy,50.4,1456808400,0.0,4.57,253.0,1.03,0.06
ATL,48.7,0.35,rain,Heavy rain starting in the evening.,43.89,1456835400,0.83,partly-cloudy-night,33.636667,-84.428056,,0.0,0.0,,1018.72,Partly Cloudy,48.7,1456812000,0.0,3.13,270.0,0.99,0.02
ATL,47.86,0.01,rain,Heavy rain starting in the evening.,43.55,1456835400,0.85,clear-night,33.636667,-84.428056,,0.0,0.0,,1018.45,Clear,47.86,1456815600,0.0,3.88,0.0,0.57,0.01
ATL,46.34,0.0,rain,Heavy rain starting in the evening.,43.04,1456835400,0.88,clear-night,33.636667,-84.428056,,0.0,0.0,,1017.78,Clear,46.34,1456819200,0.0,3.6,312.0,0.51,0.02
ATL,45.7,0.24,rain,Heavy rain starting in the evening.,42.96,1456835400,0.9,clear-night,33.636667,-84.428056,,0.0,0.0,,1017.49,Clear,45.7,1456822800,0.0,2.83,,0.42,0.0
ATL,45.5,0.23,rain,Heavy rain starting in the evening.,43.08,1456835400,0.91,clear-night,33.636667,-84.428056,,0.0,0.0,,1017.5,Clear,45.5,1456826400,0.0,3.88,90.0,0.35,0.02
ATL,45.89,0.59,rain,Heavy rain starting in the evening.,43.43,1456835400,0.91,partly-cloudy-night,33.636667,-84.428056,,0.0,0.0,,1017.85,Partly Cloudy,45.89,1456830000,0.0,4.58,220.0,0.74,0.05
ATL,47.9,0.9,rain,Heavy rain starting in the evening.,44.87,1456835400,0.89,partly-cloudy-night,33.636667,-84.428056,,0.0,0.0,,1018.25,Mostly Cloudy,47.9,1456833600,0.0,3.65,244.0,1.03,0.1
ATL,49.88,1.0,rain,Heavy rain starting in the evening.,46.76,1456835400,0.89,cloudy,33.636667,-84.428056,,0.0,0.0,,1018.59,Overcast,49.88,1456837200,0.0,4.26,232.0,1.74,0.53
ATL,54.53,0.97,rain,Heavy rain starting in the evening.,50.44,1456835400,0.86,cloudy,33.636667,-84.428056,,0.0,0.0,,1018.75,Overcast,54.53,1456840800,1.0,4.03,212.0,3.84,1.61
