airport,apparentTemperature,cloudCover,daily icon,daily summary,dewPoint,epoch_time,humidity,icon,latitude,longitude,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
ATL,76.53,0.7,rain,Rain in the evening.,72.54,1534595400,0.92,partly-cloudy-night,33.636667,-84.428056,0.0037,0.16,rain,1019.39,Humid and Mostly Cloudy,75.0,1534564800,0.0,3.54,214.0,6.29,3.35
ATL,75.77,0.69,rain,Rain in the evening.,72.39,1534595400,0.94,partly-cloudy-night,33.636667,-84.428056,0.001,0.11,rain,1019.03,Humid and Mostly Cloudy,74.23,1534568400,0.0,3.79,217.0,5.89,3.31
ATL,75.18,0.79,rain,Rain in the evening.,72.37,1534595400,0.96,partly-cloudy-night,33.636667,-84.428056,0.0,0.0,,1018.87,Humid and Mostly Cloudy,73.61,1534572000,0.0,3.61,219.0,6.23,4.22
ATL,74.91,0.87,rain,Rain in the evening.,72.13,1534595400,0.96,partly-cloudy-night,33.636667,-84.428056,0.0,0.0,,1018.86,Humid and Mostly Cloudy,73.36,1534575600,0.0,3.78,231.0,8.6,4.68
ATL,74.67,0.69,rain,Rain in the evening.,71.57,1534595400,0.95,partly-cloudy-night,33.636667,-84.428056,0.0,0.0,,1018.68,Mostly Cloudy,73.2,1534579200,0.0,3.53,235.0,7.04,4.07
ATL,74.71,0.8,rain,Rain in the evening.,71.58,1534595400,0.95,partly-cloudy-night,33.636667,-84.428056,0.0,0.0,,1018.45,Mostly Cloudy,73.24,1534582800,0.0,3.98,241.0,6.64,3.69
ATL,74.93,0.9,rain,Rain in the evening.,71.53,1534595400,0.94,partly-cloudy-night,33.636667,-84.428056,0.0,0.0,,1018.32,Mostly Cloudy,73.48,1534586400,0.0,3.61,229.0,7.95,4.24
ATL,75.08,0.86,rain,Rain in the evening.,71.8,1534595400,0.94,partly-cloudy-night,33.636667,-84.428056,0.0,0.0,,1018.53,Mostly Cloudy,73.59,1534590000,0.0,3.49,219.0,6.16,3.27
ATL,75.64,0.96,rain,Rain in the evening.,72.03,1534595400,0.93,cloudy,33.636667,-84.428056,0.0,0.0,,1018.76,Humid and Overcast,74.15,1534593600,0.0,3.22,227.0,7.7,3.82
ATL,76.47,1.0,rain,Rain in the evening.,72.23,1534595400,0.91,cloudy,33.636667,-84.428056,0.0,0.0,,1018.77,Humid and Overcast,74.98,1534597200,1.0,3.55,223.0,6.64,3.83
ATL,78.53,0.9,rain,Rain in the evening.,72.63,1534595400,0.86,partly-cloudy-day,33.636667,-84.428056,0.0,0.0,,1018.38,Humid and Mostly Cloudy,77.07,1534600800,2.0,4.29,236.0,9.24,5.43
ATL,82.34,0.91,rain,Rain in the evening.,72.41,1534595400,0.8,partly-cloudy-day,33.636667,-84.428056,0.0,0.0,,1018.33,Humid and Mostly Cloudy,79.07,1534604400,4.0,2.83,233.0,8.52,5.39
ATL,85.62,0.85,rain,Rain in the evening.,72.3,1534595400,0.75,partly-cloudy-day,33.636667,-84.428056,0.0,0.0,,1017.6,Humid and Mostly Cloudy,81.08,1534608000,5.0,3.1,238.0,9.24,5.71
ATL,88.24,0.75,rain,Rain in the evening.,72.18,1534595400,0.7,partly-cloudy-day,33.636667,-84.428056,0.0,0.0,,1017.08,Humid and Mostly Cloudy,82.9,1534611600,6.0,3.73,237.0,8.77,6.1
ATL,90.62,0.75,rain,Rain in the evening.,72.12,1534595400,0.66,partly-cloudy-day,33.636667,-84.428056,0.0,0.0,,1016.26,Humid and Mostly Cloudy,84.66,1534615200,6.0,3.1,230.0,9.26,6.15
ATL,91.87,0.75,rain,Rain in the evening.,72.08,1534595400,0.64,partly-cloudy-day,33.636667,-84.428056,0.0,0.0,,1015.21,Humid and Mostly Cloudy,85.64,1534618800,6.0,3.73,219.0,11.66,5.28
ATL,90.35,0.75,rain,Rain in the evening.,72.71,1534595400,0.69,partly-cloudy-day,33.636667,-84.428056,0.0061,0.26,rain,1014.99,Humid and Mostly Cloudy,84.14,1534622400,5.0,3.62,216.0,9.51,5.28
ATL,85.89,0.76,rain,Rain in the evening.,73.9,1534595400,0.8,rain,33.636667,-84.428056,0.1155,0.7,rain,1014.58,Rain,80.78,1534626000,3.0,2.55,226.0,7.93,4.22
ATL,78.42,0.95,rain,Rain in the evening.,73.21,1534595400,0.89,rain,33.636667,-84.428056,0.1446,0.91,rain,1015.09,Rain,76.87,1534629600,2.0,2.48,211.0,9.75,3.62
ATL,76.78,0.9,rain,Rain in the evening.,73.25,1534595400,0.94,rain,33.636667,-84.428056,0.0633,0.69,rain,1014.82,Rain,75.15,1534633200,0.0,3.05,204.0,10.15,4.93
ATL,75.56,0.91,rain,Rain in the evening.,72.73,1534595400,0.96,rain,33.636667,-84.428056,0.018,0.73,rain,1015.13,Light Rain,73.95,1534636800,0.0,3.45,217.0,7.85,4.76
ATL,75.59,0.96,rain,Rain in the evening.,72.54,1534595400,0.95,cloudy,33.636667,-84.428056,0.0054,0.55,rain,1014.98,Humid and Overcast,74.02,1534640400,0.0,3.78,225.0,6.39,3.44
ATL,75.56,0.81,rain,Rain in the evening.,72.61,1534595400,0.96,partly-cloudy-night,33.636667,-84.428056,0.0021,0.24,rain,1015.03,Humid and Mostly Cloudy,73.98,1534644000,0.0,4.05,226.0,5.47,2.84
